aX,aY,aZ,gX,gY,gZ
0.418,0.752,-0.548,36.316,33.752,-194.824
0.428,0.728,-0.586,27.405,37.109,-204.163
0.412,0.646,-0.586,19.287,39.368,-213.806
0.429,0.539,-0.563,13.245,40.771,-219.360
0.452,0.471,-0.516,9.277,38.208,-220.032
0.497,0.375,-0.458,9.827,32.043,-218.750
0.534,0.290,-0.422,14.648,22.888,-217.285
0.540,0.252,-0.422,19.409,14.648,-216.248
0.543,0.189,-0.418,20.996,8.301,-216.553
0.532,0.101,-0.415,19.775,5.737,-217.468
0.504,0.044,-0.422,15.808,6.653,-218.445
0.486,0.002,-0.421,9.277,8.728,-220.276
0.508,-0.042,-0.418,2.747,11.536,-221.558
0.548,-0.071,-0.416,-0.061,13.733,-222.900
0.582,-0.083,-0.428,0.183,14.404,-225.281
0.625,-0.105,-0.441,2.380,12.695,-228.333
0.638,-0.090,-0.475,6.165,8.911,-231.079
0.633,-0.145,-0.493,9.033,3.235,-234.375
0.594,-0.245,-0.479,11.230,-4.089,-238.831
0.538,-0.310,-0.470,11.108,-10.803,-242.371
0.473,-0.363,-0.443,8.423,-16.418,-246.277
0.395,-0.428,-0.405,6.226,-20.508,-249.817
0.298,-0.483,-0.409,5.798,-20.386,-247.986
0.267,-0.510,-0.431,4.150,-19.287,-238.770
0.313,-0.590,-0.409,-0.366,-21.912,-224.792
0.293,-0.586,-0.392,-6.348,-27.649,-211.182
0.347,-0.607,-0.356,-6.165,-35.645,-205.322
0.357,-0.666,-0.321,0.854,-43.945,-206.299
0.325,-0.710,-0.312,7.751,-52.307,-208.069
0.300,-0.752,-0.344,17.578,-58.044,-207.825
0.272,-0.847,-0.364,29.236,-60.974,-207.825
0.228,-0.936,-0.416,39.001,-63.904,-206.299
0.136,-0.966,-0.462,44.006,-65.735,-200.623
0.120,-1.080,-0.501,51.697,-66.528,-195.862
0.035,-1.144,-0.547,49.866,-66.956,-186.218
0.011,-1.209,-0.593,39.673,-66.467,-169.434
0.038,-1.259,-0.621,22.217,-67.444,-148.132
0.053,-1.302,-0.637,6.348,-69.397,-133.362
0.091,-1.393,-0.631,-2.380,-66.650,-127.441
-0.047,-1.382,-0.625,-9.094,-62.012,-126.038
-0.068,-1.500,-0.566,-7.996,-58.777,-131.775
-0.197,-1.504,-0.500,-4.700,-55.359,-138.245
-0.300,-1.542,-0.422,-0.977,-52.734,-140.808
-0.397,-1.554,-0.414,4.150,-52.795,-136.719
-0.482,-1.584,-0.459,9.460,-54.871,-128.906
-0.572,-1.601,-0.554,11.414,-54.321,-116.699
-0.655,-1.640,-0.665,5.615,-52.002,-95.642
-0.657,-1.632,-0.738,-9.521,-45.715,-63.293
-0.544,-1.548,-0.708,-32.288,-38.025,-26.672
-0.357,-1.437,-0.588,-52.551,-30.457,1.892

-2.481,1.606,-0.522,-109.741,82.520,360.596
-2.947,2.514,-0.606,-121.216,114.990,343.689
-3.176,3.334,-0.792,-111.572,163.696,332.458
-2.980,3.979,-1.281,-79.590,222.046,340.454
-2.018,4.000,-2.068,-37.842,271.057,379.150
-0.199,4.000,-3.126,1.404,295.959,438.660
3.411,4.000,-4.000,-25.208,302.490,500.122
4.000,3.999,-3.909,-52.551,271.667,487.000
4.000,1.548,-1.840,-21.790,79.834,218.872
2.306,1.752,-0.334,-110.046,-248.291,-131.592
-0.763,1.417,0.182,-92.896,-438.904,-317.261
-2.029,0.239,-0.150,1.343,-409.546,-320.679
-2.153,-0.927,-0.719,60.303,-218.994,-220.337
-1.713,-1.077,-1.250,10.986,24.048,-96.863
-1.099,-0.669,-1.313,-107.910,202.393,-4.639
-0.435,-0.053,-1.110,-193.848,291.260,50.964
0.194,0.357,-0.915,-204.407,293.152,82.703
0.624,0.551,-0.848,-149.048,207.092,88.013
0.716,0.667,-0.901,-58.594,72.388,70.679
0.620,0.675,-1.015,34.790,-52.979,42.114
0.479,0.602,-1.147,102.051,-131.653,19.165
0.373,0.494,-1.336,127.502,-155.212,5.005
0.313,0.441,-1.468,108.276,-130.615,-8.545
0.329,0.477,-1.506,56.763,-74.829,-23.621
0.436,0.536,-1.447,-4.578,-13.245,-36.987
0.562,0.609,-1.338,-55.237,32.898,-49.988
0.643,0.673,-1.230,-84.290,52.185,-63.965
0.657,0.738,-1.156,-90.027,44.373,-79.102
0.588,0.809,-1.127,-79.895,19.592,-96.130
0.484,0.885,-1.137,-62.378,-7.263,-113.770
0.364,0.930,-1.176,-46.631,-25.879,-129.456
0.219,0.958,-1.220,-38.879,-33.386,-143.250
