aX,aY,aZ,gX,gY,gZ
0.301,-0.896,0.403,-128.479,-39.673,-3.296
0.284,-0.877,0.380,-128.601,-39.368,-2.747
0.273,-0.858,0.359,-129.517,-40.466,-3.174
0.285,-0.870,0.385,-132.263,-42.847,-4.639
0.280,-0.859,0.440,-136.169,-48.218,-9.216
0.261,-0.845,0.502,-139.038,-54.382,-15.686
0.249,-0.832,0.560,-139.465,-57.495,-21.423
0.225,-0.829,0.607,-138.916,-57.617,-24.109
0.204,-0.825,0.690,-138.306,-54.688,-23.010
0.215,-0.846,0.770,-136.292,-48.889,-18.677
0.220,-0.845,0.820,-133.057,-43.335,-12.634
0.224,-0.848,0.827,-128.784,-37.537,-8.606
0.226,-0.849,0.809,-124.817,-34.119,-7.507
0.228,-0.840,0.783,-122.314,-34.241,-8.118
0.231,-0.826,0.759,-120.850,-36.438,-9.583
0.241,-0.795,0.744,-120.605,-38.391,-11.353
0.260,-0.777,0.753,-120.422,-38.330,-13.672
0.261,-0.758,0.770,-120.361,-39.307,-17.395

0.491,-2.700,0.975,32.776,-36.316,-73.303
0.380,-2.981,1.216,83.008,-28.198,-67.444
0.252,-2.915,1.158,139.526,-9.460,-42.725
0.112,-2.541,0.824,191.956,16.663,1.526
-0.006,-1.873,0.339,228.699,48.706,59.387
-0.077,-1.007,-0.170,244.446,81.543,120.911
-0.182,0.016,-0.726,245.911,110.107,168.335
-0.367,1.050,-1.449,241.455,126.587,192.017
-0.628,2.064,-2.294,223.999,122.986,200.134
-0.877,3.009,-3.197,178.284,104.675,196.533
-0.658,3.312,-3.974,109.558,78.491,176.147
-0.377,2.595,-3.877,17.090,42.358,134.644
0.079,1.613,-2.770,-71.167,6.042,68.176
0.232,0.473,-1.266,-116.760,-39.917,-0.732
0.179,-0.401,0.043,-126.892,-77.271,-65.674
0.223,-1.083,0.685,-93.689,-84.351,-96.558
0.321,-1.592,0.695,-35.217,-65.430,-84.534
0.373,-1.681,0.342,4.517,-36.682,-52.429
0.399,-1.472,-0.101,22.095,-9.949,-11.780
0.381,-1.037,-0.471,24.536,13.000,24.048
0.329,-0.579,-0.811,21.729,29.785,48.828
0.290,-0.133,-1.144,17.090,38.269,58.472
0.244,0.179,-1.423,11.780,36.194,49.377
0.173,0.331,-1.576,5.432,22.461,27.100
0.069,0.334,-1.559,-4.028,4.272,3.479
-0.009,0.224,-1.440,-15.686,-7.446,-11.841
-0.003,0.051,-1.308,-27.405,-11.658,-17.029
0.044,-0.138,-1.159,-37.292,-12.024,-15.015
0.114,-0.336,-0.985,-42.664,-10.803,-10.315
0.197,-0.525,-0.823,-42.297,-8.606,-6.287
0.273,-0.689,-0.694,-36.499,-6.042,-4.333
0.301,-0.756,-0.619,-27.344,-3.235,-4.150
0.310,-0.769,-0.623,-16.541,-0.427,-4.211
0.289,-0.712,-0.674,-5.615,1.221,-3.967
0.243,-0.613,-0.785,4.639,3.174,-2.319
0.199,-0.502,-0.907,10.925,6.897,-1.709
0.163,-0.399,-1.006,11.536,7.629,-0.610
0.137,-0.300,-1.085,8.850,6.897,1.465
0.120,-0.245,-1.124,3.662,8.301,4.822
0.126,-0.215,-1.116,-2.563,8.789,6.836
0.145,-0.218,-1.080,-6.775,7.751,6.653
0.163,-0.250,-1.030,-7.935,5.432,4.211
0.181,-0.297,-0.988,-6.714,2.563,0.305
0.179,-0.354,-0.944,-4.700,-0.977,-4.150
0.168,-0.408,-0.903,-2.625,-4.028,-7.324
0.161,-0.447,-0.883,-0.122,-4.578,-7.996
0.168,-0.468,-0.881,0.977,-3.845,-5.615
0.183,-0.471,-0.879,0.549,-2.197,-1.953
0.194,-0.451,-0.881,0.122,-0.183,1.953
0.205,-0.422,-0.893,0.366,1.709,4.944
0.218,-0.398,-0.916,1.099,2.197,5.920
0.219,-0.373,-0.933,1.831,1.892,4.944
0.208,-0.359,-0.950,2.869,1.221,1.892
0.190,-0.352,-0.969,3.784,-0.488,-1.282
0.168,-0.349,-0.981,3.845,-1.770,-3.601
0.146,-0.349,-0.987,2.808,-2.319,-4.211
0.134,-0.345,-0.994,1.282,-2.808,-3.479
0.138,-0.345,-0.999,-0.793,-2.686,-0.610
0.156,-0.348,-0.989,-3.540,-2.075,2.563
0.185,-0.363,-0.962,-5.859,-1.770,4.822
0.203,-0.379,-0.943,-6.104,-1.831,5.249
0.208,-0.392,-0.934,-5.249,-2.441,4.211
0.210,-0.401,-0.928,-4.578,-2.869,2.441
0.212,-0.404,-0.932,-3.906,-2.747,0.366
0.206,-0.405,-0.938,-3.601,-2.930,-1.892
0.201,-0.406,-0.940,-3.723,-2.930,-3.052
